Score,Player_Name,Position,Team,Opposing_TeamFB,B2B,Salary,ImpPts,PtVal,MinutesProj,ProjPlusMinus,OppPlusMinus,Floor,AvgPts,Ceiling,Month_PPG,Season_PPG,Usage,UsageProj,PaceD,PER,Trend,MyTrends,Month_Salary_Change,Season_Salary_Change,Total,Pts,OppPts,Spread,Vegas,Run_Change,Season_Plus_Minus,Plus_Minus,Days_Between_games,OfficialPlusMinus,Refs,InjuryStatus,OppPlusMinusPct,Site_Salary,CeilingPct,Consistency,Month_Count,Season_Count,Confirmed,FloorPct,Pro_Pct,PtPerDPct,FloorPtPerDPct,ProjPlusMinusPct,Upside,FantasyResultId,SpreadPct,ProjPct,Season_PPG_Percentile,Salary_Movement,MyTrends|custom,ActualPoints,IsLocked,Month_X2,Month_X1,Month_X0,Season_X2,Season_X1,Season_X0,SourceId,PlayerId,EventTeamId,PositionId,EventId
53.63, Jose Juan Barea,PG,DAL,@MIN,  ,16,19.46,987.5,19.8,-3.7,4.4,1.9,15.8,30.3,,,23.1,19.63,-0.1,14.55,0,0,6,-1,199.0,101.8,97.3,-4.5,70,0.0,,50,2,0.0,"Dedric Taylor, Derek Richardson, Mike Callahan",,85,97,43,,,0,,25,0,48,0,56,,1246894,79,50,,0,0,,False,,,,,,,11,12154,30196901,201,3019690
53.21, Marvin Williams,PF,CHR,@DEN,2A,20,24.29,1070.0,29.0,-2.9,-1.0,8.9,21.4,33.9,,,13.2,13.59,-1.1,13.87,0,0,-4,3,198.5,98.0,100.5,2.5,48,-2.0,,50,1,0.0,"Ben Taylor, Eric Dalen, James Capers",,38,36,54,,,0,,62,0,62,26,61,,1247064,58,68,,99,0,,False,,,,,,,11,12011,30197501,201,3019750
52.7, Kenneth Faried,PF,DEN,CHR,  ,24,29.13,1058.3,26.5,-3.7,-1.9,10.3,25.4,40.5,,,20.1,19.88,1.1,19.62,0,0,0,-2,198.5,100.5,98.0,-2.5,63,-0.5,,50,2,0.0,"Ben Taylor, Eric Dalen, James Capers",Questionable,29,41,72,,,0,,66,0,60,26,56,,1247084,42,78,,89,0,,False,,,,,,,11,12339,30197502,201,3019750
51.34, Chris Paul,PG,LAC,NO,2H,45,54.5,997.8,32.6,-9.6,3.4,29.7,44.9,60.1,,,27.5,29.71,0.4,23.93,0,0,2,4,204.0,106.8,97.3,-9.5,89,0.5,,50,1,0.0,"Brent Barnaky, Dedric Taylor, Derek Richardson, Leon Wood, Marc Davis, Mike Callahan",,80,50,97,,,0,,98,0,51,29,29,,1246932,64,98,,5,0,,False,,,,,,,11,12012,30197002,201,3019700
51.24, Deron Williams,PG,DAL,@MIN,  ,24,29.13,991.7,28.4,-5.3,4.4,11.1,23.8,36.5,,,22.1,21.78,-0.1,15.77,0,0,-4,-3,199.0,101.8,97.3,-4.5,70,0.0,,50,2,0.0,"Dedric Taylor, Derek Richardson, Mike Callahan",Probable,85,36,62,,,0,,68,0,49,26,45,,1246890,79,75,,99,0,,False,,,,,,,11,12017,30196901,201,3019690
51.17, Tristan Thompson,C,CLE,@PHI,  ,20,24.29,1015.0,29.1,-4.0,1.5,3.6,20.3,37.0,,,11.3,12.04,4.6,14.85,0,0,-4,0,206.0,111.3,95.3,-16.0,96,1.8,,50,2,0.2,"Mark Lindsay, Scott Twardoski, Tony Brothers",,62,43,64,,,0,,37,0,53,0,53,,1246950,80,65,,99,0,,False,,,,,,,11,12322,30197101,201,3019710
51.14, Raymond Felton,SG,DAL,@MIN,  ,15,18.25,1060.0,23.4,-2.4,-4.5,4.5,15.9,27.3,,,17.6,17.05,-0.1,12.22,0,0,4,5,199.0,101.8,97.3,-4.5,70,0.0,,50,2,0.0,"Dedric Taylor, Derek Richardson, Mike Callahan",,9,92,30,,,0,,40,0,60,24,66,,1246888,79,50,,0,0,,False,,,,,,,11,12013,30196901,201,3019690
50.95, Gerald Henderson,SG,POR,OKC,  ,10,12.21,910.0,13.1,-3.1,5.9,0.2,9.1,18.0,,,20.2,19.71,1.6,10.24,0,0,0,-8,215.0,103.8,111.3,7.5,79,0.5,,50,2,-0.1,"Curtis Blair, Derrick Collins, Scott Foster",,92,91,10,,,0,,12,0,41,0,60,,1247111,25,33,,89,0,,False,,,,,,,11,12235,30197602,201,3019760
50.81, Mario Chalmers,PG,MEM,BOS,  ,10,12.21,2890.0,39.2,16.7,-4.6,17.1,28.9,40.7,,,18.4,19.43,4.9,16.6,0,0,-2,-5,191.5,94.3,97.3,3.0,25,-1.2,,50,2,0.2,"Ed Malloy, Eric Lewis, J.T. Orr",,9,50,73,,,0,,87,0,0,97,100,,1246999,42,83,,95,0,,False,,,,,,,11,12214,30197202,201,3019720
50.46,TJ McConnell,PG,PHI,CLE,2H,10,12.21,930.0,11.8,-2.9,2.1,1.1,9.3,16.7,,,17.1,16.58,-4.6,13.83,0,0,-8,-3,206.0,95.3,111.3,16.0,32,0.3,,50,1,0.2,"Mark Lindsay, Scott Twardoski, Tony Brothers",,69,97,7,,,0,,20,0,43,0,61,,1246976,20,34,,100,0,,False,,,,,,,11,22393,30197102,201,3019710
