Score,Player_Name,Position,Team,Opposing_TeamFB,B2B,Salary,ImpPts,PtVal,MinutesProj,ProjPlusMinus,OppPlusMinus,Floor,AvgPts,Ceiling,Month_PPG,Season_PPG,Usage,UsageProj,PaceD,PER,Trend,MyTrends,Month_Salary_Change,Season_Salary_Change,Total,Pts,OppPts,Spread,Vegas,Run_Change,Season_Plus_Minus,Plus_Minus,Days_Between_games,OfficialPlusMinus,Refs,InjuryStatus,OppPlusMinusPct,Site_Salary,CeilingPct,Consistency,Month_Count,Season_Count,Confirmed,FloorPct,Pro_Pct,PtPerDPct,ProjPlusMinusPct,Upside,FantasyResultId,SpreadPct,ProjPct,Season_PPG_Percentile,Salary_Movement,MyTrends|custom,ActualPoints,IsLocked,Month_X2,Month_X1,Month_X0,Season_X2,Season_X1,Season_X0,SourceId,PlayerId,EventTeamId,PositionId,EventId
46.3, Festus Ezeli,C,GS,UTA,  ,4800,17.92,3.9,19.6,0.7,-1.7,3.4,18.6,33.8,22.2,14.3,17.3,18.46,-8.4,19.79,3,0,500,1300,208.5,111.5,97.5,-14.0,97,0.5,1.6,69,5,-0.2,"Kevin Cutler, Leroy Richardson, Ron Garretson",,7,61,63,43,12,65,,30,39,52,49,83,1031390,77,49,39,14,0,,False,58,33,8,38,35,26,3,12397,30043502,201,3004350
46.08, Patty Mills,PG,SAN,@MIN,  ,3900,13.99,3.6,20.2,0.1,1.0,4.4,14.1,23.8,15.8,13.5,18.2,17.06,2.6,16.11,3,0,100,100,195.5,103.3,92.3,-11.0,77,-1.0,0.2,49,2,-0.2,"Derrick Stafford, Eric Dalen, James Williams",,78,61,35,80,15,86,,35,39,38,44,64,1031285,85,31,36,32,0,,False,46,46,6,32,46,20,3,12264,30043201,201,3004320
44.97, Kosta Koufos,C,SAC,@IND,  ,4200,15.3,3.6,18.9,-0.3,0.2,0.9,15.0,29.1,19.8,15.2,14.2,13.69,-2.3,16.33,3,0,200,700,215.0,104.3,110.8,7.0,81,0.3,2.1,76,2,0.1,"Dedric Taylor, Ed Malloy, Josh Tiven",,53,79,49,82,13,92,,17,39,38,40,88,1031111,20,34,43,26,0,,False,38,23,38,41,47,10,3,12206,30042601,201,3004260
44.9, Alex Len,C,PHX,DEN,  ,4800,17.92,3.6,21.4,-0.6,0.2,3.2,17.3,31.4,22.0,19.1,17.6,17.03,-3.8,15.7,3,0,1300,600,208.0,108.3,99.8,-8.5,92,0.3,2.6,82,2,-0.4,"Derek Richardson, Matt Boland, Scott Foster",,53,79,55,37,16,68,,29,39,38,38,78,1031364,55,44,58,2,0,,False,56,25,18,36,33,29,3,12444,30043402,201,3004340
44.16, David Lee,PF,BOS,@CHR,  ,4100,14.86,3.4,15.7,-1.0,1.2,1.5,13.9,26.3,17.1,16.3,22.4,17.94,-2.8,16.22,5,0,200,-1300,204.5,101.3,103.3,2.0,67,1.5,-1.2,34,2,-0.1,"Courtney Kirkland, Eli Roe, Monty McCutchen",,83,84,40,69,13,80,,20,67,31,34,22,1031048,44,30,47,26,0,,False,46,30,23,17,42,40,3,12026,30042401,201,3004240
44.14, Matthew Dellavedova,PG,CLE,NY,  ,4500,16.61,3.2,23.8,-2.1,2.1,4.9,14.5,24.1,20.6,14.2,16.1,13.36,1.3,14.12,6,0,,600,195.5,103.5,92.0,-12.5,78,-0.8,1.1,63,3,0.2,"Jason Phillips, Kevin Scott, Tony Brown",,95,89,35,39,10,90,,37,78,26,25,88,1031097,63,33,39,50,0,,False,40,50,10,41,34,24,3,12494,30042502,201,3004250
43.97, Andrew Nicholson,PF,ORL,HOU,  ,3600,12.68,3.5,17.3,-0.1,0.7,1.8,12.6,23.4,16.2,12.5,18.0,19.22,2.6,13.83,1,1,-100,100,208.0,104.5,103.5,-1.0,82,0.5,-0.3,42,2,-0.2,"Bill Kennedy, David Guthrie, Steven Anderson",,69,79,34,77,14,44,,22,6,35,42,61,1031156,47,25,32,69,1,,False,28,57,14,31,45,22,3,12387,30042702,201,3004270
43.3, Jose Calderon,PG,NY,@CLE,  ,3900,13.99,3.5,24.2,-0.4,-0.3,4.5,13.6,22.7,17.5,17.8,13.2,14.38,-1.3,12.42,6,0,-700,-1000,195.5,92.0,103.5,12.5,15,-0.8,0.3,49,2,0.2,"Jason Phillips, Kevin Scott, Tony Brown",,37,74,33,62,14,54,,36,78,35,39,47,1031077,37,29,52,92,0,,False,28,42,28,27,40,31,3,12038,30042501,201,3004250
42.8, Darrell Arthur,PF,DEN,@PHX,2A,3600,12.68,3.5,17.7,0.0,-0.4,1.3,12.7,24.1,15.4,12.4,16.0,19.96,3.8,12.43,3,0,-200,100,208.0,99.8,108.3,8.5,59,0.3,-1.0,36,1,-0.4,"Derek Richardson, Matt Boland, Scott Foster",,33,89,35,89,12,59,,19,39,35,43,28,1031344,45,26,31,75,0,,False,41,33,25,20,50,28,3,12210,30043401,201,3004340
42.33, Kevin Martin,SG,MIN,SAN,  ,3900,13.99,3.5,18.6,-0.3,-2.2,2.6,13.7,24.8,15.4,22.7,21.3,24.95,-2.6,12.28,8,1,-600,-1300,195.5,92.3,103.3,11.0,16,-1.5,1.3,64,2,-0.2,"Derrick Stafford, Eric Dalen, James Williams",,4,89,37,65,13,56,,27,92,35,40,44,1031308,15,29,71,90,1,,False,30,23,46,26,41,32,3,12666,30043202,201,3004320
42.18, Norris Cole,PG,NO,POR,  ,3500,12.25,3.2,20.3,-1.0,2.6,1.9,11.3,20.7,12.3,14.9,20.3,15.59,-1.8,4.73,5,0,0,0,203.0,105.3,97.8,-7.5,84,0.3,1.1,61,3,0.0,"Derrick Collins, Haywoode Workman, Zach Zarba",,97,61,26,89,10,64,,23,67,26,34,51,1031337,51,21,42,63,0,,False,30,60,10,28,50,21,3,12344,30043302,201,3004330
